session_date,rth_start,rth_end,ib_high,ib_low,ib_range,midpoint,ib_volume,total_volume,relative_ib_volume,rth_high,rth_low,rth_close,rotation,failed_auction,breakside,breakside_rotation_up,breakside_rotation_down,breakside_retracement_points,breakside_retracement_normib,opening_window_minutes,opening_range_high,opening_range_low,opening_range,opening_range_close,opening_direction,opening_type,opening_bar_open,opening_bar_close,opening_bar_open_close,opening_bar_volume
2023-12-14,06:30,13:00,16877.25,16785.0,92.25,16831.125,267153.0,832789.0,0.32079314208040693,16877.25,16627.25,16756.75,False,none,low,,,35.25,0.3821138211382114,10,16857.5,16811.5,46.0,16835.0,up,auction,16820.75,16826.5,5.75,7131.0
2023-12-15,06:30,13:00,16866.0,16780.25,85.75,16823.125,214872.0,710348.0,0.3024883578189845,16887.25,16762.75,16818.25,True,failed_both,high,16762.75,16868.0,103.25,1.2040816326530612,10,16829.5,16780.25,49.25,16823.25,up,auction,16788.0,16802.5,14.5,10330.0
2023-12-18,06:30,13:00,16906.5,16832.0,74.5,16869.25,192871.0,550172.0,0.35056491424499975,16974.25,16832.0,16938.0,False,none,high,,,7.25,0.09731543624161074,10,16878.25,16832.0,46.25,16860.0,up,auction,16846.5,16848.0,1.5,5313.0
2023-12-19,06:30,13:00,16997.75,16944.5,53.25,16971.125,231797.0,612835.0,0.3782372090366901,17027.5,16944.5,17021.0,False,none,high,,,32.75,0.6150234741784038,10,16987.5,16944.5,43.0,16985.25,up,auction,16952.5,16974.75,22.25,10530.0
2023-12-20,06:30,13:00,17054.75,16970.75,84.0,17012.75,167489.0,882794.0,0.18972602894899604,17073.5,16760.5,16767.0,True,failed_high,high,16760.5,,294.25,3.5029761904761907,10,17006.0,16970.75,35.25,17003.25,up,auction,16986.0,16984.25,-1.75,6763.0
2023-12-21,06:30,13:00,16958.75,16843.5,115.25,16901.125,277108.0,870874.0,0.3181952842776337,16966.0,16814.5,16950.75,True,failed_both,low,16947.75,16966.0,122.5,1.0629067245119306,10,16958.75,16905.25,53.5,16929.0,up,auction,16922.5,16945.5,23.0,9985.0
2023-12-22,06:30,13:00,17041.25,16989.25,52.0,17015.25,172772.0,637273.0,0.2711114388966738,17041.25,16896.0,16981.0,False,none,low,,,32.25,0.6201923076923077,10,17021.75,16989.25,32.5,17005.75,up,auction,16999.25,17010.5,11.25,5001.0
2023-12-26,06:30,13:00,17057.0,17005.25,51.75,17031.125,124412.0,396170.0,0.3140369033495721,17111.5,17005.25,17084.0,False,none,high,,,34.25,0.6618357487922706,10,17038.5,17005.25,33.25,17028.5,up,auction,17009.5,17027.75,18.25,6323.0
2023-12-27,06:30,13:00,17124.5,17055.5,69.0,17090.0,167164.0,556401.0,0.3004379934615502,17127.5,17055.5,17116.75,False,failed_high,high,17060.5,,64.0,0.927536231884058,10,17121.75,17091.75,30.0,17105.0,up,auction,17092.0,17116.25,24.25,9532.0
2023-12-28,06:30,13:00,17159.0,17102.75,56.25,17130.875,133788.0,483116.0,0.2769272804047061,17159.0,17078.0,17090.75,False,none,low,,,34.75,0.6177777777777778,10,17159.0,17120.5,38.5,17129.5,down,auction,17148.75,17149.5,0.75,6997.0
2023-12-29,06:30,13:00,17107.5,17072.0,35.5,17089.75,117274.0,691468.0,0.1696014855351224,17107.5,16937.75,17018.75,False,none,low,,,8.0,0.22535211267605634,10,17100.0,17072.0,28.0,17090.0,up,auction,17089.0,17094.5,5.5,6025.0
2024-01-02,06:30,13:00,16873.5,16716.75,156.75,16795.125,303481.0,797905.0,0.38034728445115645,16873.5,16622.0,16721.75,False,failed_low,low,,16787.75,71.0,0.4529505582137161,10,16873.5,16795.5,78.0,16800.5,down,auction,16862.25,16869.75,7.5,11525.0
2024-01-03,06:30,13:00,16653.75,16556.75,97.0,16605.25,280288.0,915198.0,0.3062594105319286,16653.75,16522.25,16541.5,False,none,low,,,71.75,0.7396907216494846,10,16632.75,16581.5,51.25,16613.5,up,auction,16610.0,16618.25,8.25,11379.0
2024-01-04,06:30,13:00,16533.0,16443.0,90.0,16488.0,238777.0,720582.0,0.33136686733779086,16584.0,16435.75,16444.0,True,failed_both,high,16435.75,16458.75,97.25,1.0805555555555555,10,16500.0,16443.0,57.0,16484.0,up,auction,16453.0,16466.75,13.75,7742.0
2024-01-05,06:30,13:00,16555.5,16437.25,118.25,16496.375,246921.0,781666.0,0.31589067453362435,16577.0,16403.5,16463.75,True,failed_both,high,16403.5,16509.25,152.0,1.285412262156448,10,16494.25,16437.25,57.0,16463.75,up,auction,16449.0,16456.25,7.25,7626.0
2024-01-08,06:30,13:00,16644.25,16505.25,139.0,16574.75,200388.0,625845.0,0.32018790595115404,16811.5,16505.25,16801.25,False,none,high,,,3.75,0.02697841726618705,10,16567.75,16505.25,62.5,16567.5,up,auction,16512.0,16518.25,6.25,7038.0
2024-01-09,06:30,13:00,16746.75,16660.75,86.0,16703.75,231801.0,780609.0,0.2969489206504152,16868.5,16660.75,16831.0,False,none,high,,,19.75,0.22965116279069767,10,16714.5,16666.75,47.75,16686.75,up,auction,16669.0,16682.75,13.75,9695.0
2024-01-10,06:30,13:00,16874.0,16801.75,72.25,16837.875,222724.0,739409.0,0.30121894648293435,16983.25,16801.75,16942.0,False,none,high,,,19.5,0.2698961937716263,10,16874.0,16839.5,34.5,16864.5,up,auction,16840.75,16862.5,21.75,8346.0
2024-01-11,06:30,13:00,17043.0,16824.5,218.5,16933.75,334150.0,1024138.0,0.32627438880307147,17043.0,16753.0,16965.25,False,failed_low,low,,16983.75,159.25,0.7288329519450801,10,17043.0,16974.75,68.25,17013.5,up,auction,16984.5,17002.25,17.75,9842.0
2024-01-12,06:30,13:00,17042.5,16935.25,107.25,16988.875,259807.0,794086.0,0.32717740899600295,17042.5,16913.25,16971.75,False,failed_low,low,,16995.25,60.0,0.5594405594405595,10,17019.0,16974.0,45.0,17007.25,down,auction,17008.25,17004.25,-4.0,9476.0
2024-01-15,06:30,13:00,16967.5,16936.0,31.5,16951.75,38290.0,79315.0,0.4827586206896552,16980.0,16936.0,16967.5,False,failed_high,high,16954.25,,13.25,0.42063492063492064,10,16967.5,16952.0,15.5,16962.0,up,auction,16957.75,16962.75,5.0,1229.0
